id,name,employees,employee_band,notes
8,???? ???????? ????,900,500-1999,Classic case interviews.
52,AGSコンサルティング,1200,500-1999,
2,Accenture Japan,25000,2000+,Large implementation projects.
7,Bain & Company Tokyo,300,100-499,PE-heavy cases.
11,Boston Consulting Group,2000,2000+,
3,Deloitte Tohmatsu,19000,2000+,Multiple legal entities.
40,Dirbato,1200,500-1999,
5,EY Strategy and Consulting,7000,2000+,Global projects.
26,EYストラテジー・アンド・コンサルティング,2000,2000+,
96,FPTコンサルティングジャパン,,unknown,seed抽出（要官网核验）
56,FTIコンサルティング,2000,2000+,
54,G-FAS,300,100-499,旧称GCA FAS
32,IBMコンサルティング,2000,2000+,
41,INTLOOP,1200,500-1999,
4,KPMG Consulting,6000,2000+,Governance and risk focus.
48,KPMG FAS,,unknown,high
25,KPMGコンサルティング,2000,2000+,
13,Kearney,1200,500-1999,旧称A.T. Kearney
57,Kroll,2000,2000+,
17,L.E.K.コンサルティング,300,100-499,
46,NTTデータ経営研究所,1200,500-1999,
53,OAGコンサルティング,1200,500-1999,
1,PwC Japan Group,12000,2000+,Strong in digital and risk.
49,PwCアドバイザリー,1200,500-1999,
24,PwCコンサルティング,2000,2000+,Strategy&をaliasesに統合
69,PwCコンサルティング合同会社 ストラテジーコンサルティング(Strategy&),,unknown,seed抽出（要官网核验）
39,Ridgelinez,300,100-499,
44,ULシステムズ,1200,500-1999,
60,WTW,1200,500-1999,
22,YCP,1200,500-1999,グループ表記で集約
47,みずほリサーチ&テクノロジーズ,2000,2000+,シンクタンク系/IT寄り
70,アクシスコンサルティング,107,100-499,"seed抽出（要官网核验） | crosscheck: Axis Consulting company profile employees 107 (non-official source), https://guidablejobs.jp/company/detail/1452"
27,アクセンチュア,2000,2000+,純粋なBPO主体ではないため採用
43,アバナード,2000,2000+,
28,アビームコンサルティング,2000,2000+,
67,アリックスパートナーズ,,unknown,seed抽出（要官网核验）
15,アーサー・ディ・リトル,1200,500-1999,
16,オリバー・ワイマン,2000,2000+,
31,キャップジェミニ,2000,2000+,
65,グロービス,1200,500-1999,教育色が強いため境界領域
19,コーポレイトディレクション,80,1-99,"high | crosscheck: Corporate Directions profile (group employees 80), https://www.cdi-japan.co.jp/english/about_cdi/management_team/"
59,コーン・フェリー,300,100-499,
18,サイモン・クチャー,1200,500-1999,商業戦略・価格特化
42,シグマクシス,1200,500-1999,グループ表記ではなくコンサル会社名を採用
62,セルム,300,100-499,
64,タナベコンサルティング,1200,500-1999,HR特化ではないが人事組織を主要機能に含む
71,タナベコンサルティンググループ,,unknown,seed抽出（要官网核验）
23,デロイト トーマツ,2000,2000+,Big4系をグループ集約
72,デロイト トーマツ コンサルティング,,unknown,seed抽出（要官网核验）
20,ドリームインキュベータ,300,100-499,
73,パーソルワークスイッチコンサルティング,,unknown,seed抽出（要官网核验）
37,フォーティエンスコンサルティング,1200,500-1999,2025-10-01にQUNIEから社名変更
38,フューチャーアーキテクト,,unknown,high
50,フロンティア・マネジメント,1200,500-1999,
55,フーリハン・ローキー,300,100-499,
29,ベイカレント,2000,2000+,
12,ベイン・アンド・カンパニー,1200,500-1999,
30,ベリングポイント,2000,2000+,日本ではABeamとの連携が強い
10,マッキンゼー・アンド・カンパニー,2000,2000+,日本拠点ベースで集約
45,マネジメントソリューションズ,1200,500-1999,PMO特化のため境界領域
58,マーサー ジャパン,300,100-499,
61,リクルートマネジメントソリューションズ,1200,500-1999,
74,リブ・コンサルティング,350,100-499,"seed抽出（要官网核验） | crosscheck: Lib Consulting profile employees 350, https://www.libcon.co.jp/company/profile/"
63,リンクアンドモチベーション,1200,500-1999,
14,ローランド・ベルガー,1200,500-1999,
36,三菱UFJリサーチ&コンサルティング,1200,500-1999,
35,三菱総合研究所,1200,500-1999,
75,博報堂コンサルティング,,unknown,seed抽出（要官网核验）
51,山田コンサルティンググループ,1200,500-1999,
34,日本総合研究所,2000,2000+,
66,日本能率協会コンサルティング,1200,500-1999,実行支援型の老舗
76,日立コンサルティング,541,500-1999,"seed抽出（要官网核验） | crosscheck: Hitachi Consulting profile employees 541, https://www.hitachiconsulting.co.jp/company/profile/"
78,株式会社エヌ・ティ・ティ・データ経営研究所,,unknown,seed抽出（要官网核验）
79,株式会社三菱総合研究所,,unknown,seed抽出（要官网核验）
80,株式会社日本総合研究所,,unknown,seed抽出（要官网核验）
81,株式会社日立コンサルティング,,unknown,seed抽出（要官网核验）
82,株式会社野村総合研究所,,unknown,seed抽出（要官网核验）
21,経営共創基盤,,unknown,high
68,船井総合研究所,1182,500-1999,"seed抽出（要官网核验） | crosscheck: Funai Soken corporate profile employees 1182, https://hd.funaisoken.co.jp/company/profile/"
33,野村総合研究所,2000,2000+,
83,野村総合研究所(NRI),,unknown,seed抽出（要官网核验）
84,電通コンサルティング,,unknown,seed抽出（要官网核验）
